gene	pval	dev_exp	fdr	significant	effect_size	regulation	pseudoDEG
6 - MRPL17	0.00037683518960651696	0.5588454365884149	0.0012624294459179799	True	4.088787399078764	DOWN	False
6 - ZNF558	0.0003762377376040904	0.5320495902350936	0.0012624294459179799	True	3.659112425026052	DOWN	False
6 - EIF2B4	0.00038618771575926747	0.5484214485373841	0.0012915977115694564	True	3.862198116976549	DOWN	False
17 - PFAS	0.00039545751272151985	0.539023848102923	0.001320392363010083	True	3.8191885841893574	DOWN	False
18 - NFIA	0.0004048446965123631	0.5976672030683884	0.001347884700719449	True	4.696362886274115	DOWN	False
18 - NRF1	0.0004050393525661944	0.6157400662460089	0.001347884700719449	True	4.999362677277123	DOWN	False
18 - MLH1	0.0004096219298934667	0.6051938582575163	0.001360870198981617	True	4.825212766916045	DOWN	False
6 - AAGAB	0.0004133924366334085	0.5301938422104385	0.0013711191928139587	True	3.6429691201789507	DOWN	False
18 - COA5	0.0004294239873285921	0.6305749563611875	0.0014219337328761328	True	5.268973464198695	DOWN	False
6 - CEP70	0.0004391775729318814	0.5096219779865443	0.0014518266873781204	True	3.2633993816014275	DOWN	False
17 - GTDC1	0.00044539090222484035	0.5328940206109629	0.001469936971039077	True	3.7450904832661727	DOWN	False
18 - TTC27	0.0004609690543980749	0.6059540492763184	0.0015188436718223226	True	4.874147310116679	DOWN	False
18 - PLCD1	0.0004662421740597722	0.6044827585296403	0.0015336913620387243	True	4.852831119220848	DOWN	False
18 - SLFN11	0.00047043804384439003	0.6162452884426377	0.0015449525249405256	True	5.050142592691084	DOWN	False
17 - PARP15	0.0005490209312978278	0.5553177062259937	0.0018000686272059928	True	4.147038609015864	DOWN	False
18 - WIPF2	0.0005636426966816321	0.6155088472908887	0.0018449842771902853	True	5.087983444680971	DOWN	False
6 - USP21	0.0005668308870706573	0.554661924858216	0.0018523885198387495	True	4.1834699236320505	DOWN	False
17 - VWF	0.0005726816613897956	0.5575381098185983	0.0018684556652195615	True	4.233591073343069	DOWN	False
15 - TXNL4B	0.0005941633393830026	0.5100026973790601	0.00193538547030294	True	3.4480339084105522	DOWN	False
10 - CLIP4	0.0006101127326774147	0.5329394058378667	0.00198410644773143	True	3.898834549532012	DOWN	False
18 - LACTB	0.0006259688767467075	0.5961480887710777	0.0020323664829438558	True	4.803959151462912	DOWN	False
